season,river_size,fluid_velocity ,pH,Oxygen,Chloride,Nitrates,Ammonium,Orthophosphate,Phosphate,Chlorophyll
winter,small,medium,8,9.8,60.8,6.24,578,105,170,50
spring,small,medium,8.35,8,57.75,1.29,370,428.75,558.75,1.3
autumn,small,medium,8.1,11.4,40.02,5.33,346.67,125.67,187.06,15.6
spring,small,medium,8.07,4.8,77.36,2.3,98.18,61.18,138.7,1.4
autumn,small,medium,8.06,9,55.35,10.42,233.7,58.22,97.58,10.5
winter,small,high,8.25,13.1,65.75,9.25,430,18.25,56.67,28.4
summer,small,high,8.15,10.3,73.25,1.54,110,61.25,111.75,3.2
autumn,small,high,8.05,10.6,59.07,4.99,205.67,44.67,77.43,6.9
winter,small,medium,8.7,3.4,21.95,0.89,102.75,36.3,71,5.54
winter,small,high,7.93,9.9,8,1.39,5.8,27.25,46.6,0.8
spring,small,high,7.7,10.2,8,1.53,21.57,12.75,20.75,0.8
summer,small,high,7.45,11.7,8.69,1.59,18.43,10.67,19,0.6
winter,small,high,7.74,9.6,5,1.22,27.29,12,17,41
summer,small,high,7.72,11.8,6.3,1.47,8,16,15,0.5
winter,small,high,7.9,9.6,3,1.45,46.2,13,61.6,0.3
autumn,small,high,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1
winter,small,high,7.78,12,7,1.42,34.33,18.67,50,1.1
spring,small,high,7.61,9.8,7,1.44,31.33,20,57.83,0.4
summer,small,high,7.35,10.4,7,1.72,49,41.5,61.5,0.8
spring,small,medium,7.79,3.2,64,2.82,564.6,771.6,4.5,0
winter,small,medium,7.83,10.7,88,4.82,467.5,586,16,0
spring,small,high,7.2,9.2,0.8,0.64,81,15.6,18,0.5
autumn,small,high,7.75,10.3,32.92,2.94,42,16,40,7.6
winter,small,high,7.62,8.5,11.87,1.72,208.33,3,27.5,1.7
spring,small,high,7.84,9.4,10.98,1.51,12.5,3,11.5,1.5
summer,small,high,7.77,10.7,12.54,3.98,58.5,9,44.14,3
winter,small,high,7.09,8.4,10.5,1.57,28,4,13.6,0.5
autumn,small,high,6.8,11.1,9,0.63,20,4,,2.7
winter,small,high,8,9.8,16,0.73,20,26,45,0.8
spring,small,high,7.2,11.3,9,0.23,120,12,19,0.5
autumn,small,high,7.4,12.5,13,3.33,60,72,142,4.9
winter,small,high,8.1,10.3,26,3.78,60,246,304,2.8
summer,small,high,7.8,11.3,20.08,3.02,49.5,53,130.75,5.8
autumn,small,medium,8.4,9.9,34.5,2.82,20,47,2.3,13.6
winter,small,medium,8.27,7.8,29.2,0.05,7.4,23,0.9,5.3
summer,small,medium,8.66,8.4,30.52,3.44,58.88,84.46,3.6,18.3
winter,small,high,8.3,10.9,1.17,0.74,13.5,1.63,3,0.2
